mal_id,title,score,scored_by,rank,popularity,members,favorites
9756,"Mahou Shoujo Madoka★Magica",8.36,647521,186,89,1118103,47415
8841,"Kore wa Zombie Desu ka?",7.38,313949,2086,279,576059,3016
9041,"IS: Infinite Stratos",6.67,325641,5279,285,574752,2175
9513,"Beelzebub",7.88,230529,736,321,530398,4882
8425,"Gosick",8.07,198637,478,352,482437,7542
9656,"Kimi ni Todoke 2nd Season",7.99,225620,575,441,393670,1355
9367,"Freezing",6.84,156121,4495,615,295026,1054
9330,"Dragon Crisis!",6.66,81248,5349,1151,161120,276
9331,"Yumekui Merry",6.93,57475,4117,1369,129160,270
8426,"Hourou Musuko",7.71,36363,1053,1466,117131,1007
9834,"Level E",7.43,36437,1878,1829,87654,325
9587,"Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!",6.11,36810,8142,1904,82783,73
9314,"Fractale",6.94,32278,4056,1966,78027,200
9539,"Cardfight!! Vanguard",7.02,21690,3746,2607,48657,287
9510,"Mitsudomoe Zouryouchuu!",7.68,24064,1112,2792,42358,80
10330,"Bakugan Battle Brawlers: Mechtanium Surge",6.2,23083,7700,2879,40265,60
8241,"Rio: Rainbow Gate!",5.86,12120,9226,3022,37043,27
9598,"Haiyoru! Nyaruani: Remember My Love(craft-sensei)",6.24,10748,7505,3573,26924,8
6918,"Wolverine",6.04,10898,8475,3741,24390,22
9893,"Suite Precure♪",7.28,4760,2511,4785,13607,102
10177,"DD Hokuto no Ken",6.13,1516,8029,7450,4546,10
33430,"Oscar's Oasis",6.4,565,6710,11128,1079,4
31898,"Robocar Poli",5.45,128,10628,13977,384,0
11733,"Chi-Sui Maru 2nd Season",None,None,15371,14780,306,0
34666,"Kemy",None,None,16842,17214,155,0
45525,"Binfen Baobao",None,None,15213,18592,50,0
