mal_id,title,score,scored_by,rank,popularity,members,favorites
40748,"Jujutsu Kaisen (TV)",8.71,974252,46,38,1696880,63285
40776,"Haikyuu!!: To the Top 2nd Season",8.54,327301,91,270,608228,5127
41389,"Tonikaku Kawaii",7.92,284567,664,323,544926,8149
40454,"Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III",7.45,202806,1795,401,447891,1622
41433,"Akudama Drive",7.64,142065,1212,565,327127,2796
40571,"Majo no Tabitabi",7.55,126838,1485,622,304426,2746
40911,"Yuukoku no Moriarty",8.13,109239,401,647,295948,4406
40497,"Mahouka Koukou no Rettousei: Raihousha-hen",7.29,113022,2471,680,280219,1164
41619,"Munou na Nana",7.22,115392,2786,767,252604,1254
41345,"Noblesse",6.85,84508,4442,844,226903,984
41006,"Higurashi no Naku Koro ni Gou",7.21,59529,2841,849,225265,1282
41380,"100-man no Inochi no Ue ni Ore wa Tatteiru",6.49,102187,6210,892,216796,472
41930,"Kamisama ni Natta Hi",6.8,89673,4691,885,216063,1426
40595,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",6.61,88484,5603,899,215055,1060
40397,"Maoujou de Oyasumi",8.01,66814,550,1200,159658,1686
39790,"Adachi to Shimamura",7.12,52057,3297,1252,150027,1167
41312,"Kami-tachi ni Hirowareta Otoko",6.94,66572,4062,1357,135758,671
40059,"Golden Kamuy 3rd Season",8.45,51298,132,1497,118064,1066
40974,"Kuma Kuma Kuma Bear",7.2,49663,2931,1598,109935,662
41911,"Hanyou no Yashahime: Sengoku Otogizoushi",6.72,22401,5062,1666,103455,566
40359,"Ikebukuro West Gate Park",6.86,26660,4404,1754,95579,280
41783,"Iwa Kakeru!: Sport Climbing Girls",6.47,26364,6328,1997,78190,142
40550,"Assault Lily: Bouquet",6.46,21267,6383,2129,71325,248
40879,"Love Live! Nijigasaki Gakuen School Idol Doukoukai",7.55,20617,1484,2423,57594,903
42571,"Dogeza de Tanondemita",5.64,19579,10031,2461,56681,154
41834,"King's Raid: Ishi wo Tsugumono-tachi",5.99,11968,8704,2440,56641,140
40906,"Dragon Quest: Dai no Daibouken (2020)",7.14,16300,3213,2414,56322,320
38337,"Gochuumon wa Usagi Desu ka? Bloom",7.95,15700,621,2575,49875,400
42668,"Taisou Zamurai",7.25,15521,2688,2617,49326,120
40803,"Hypnosis Mic: Division Rap Battle - Rhyme Anima",6.79,13077,4712,2624,49295,589
41372,"Senyoku no Sigrdrifa",6.45,10457,6451,2952,39314,58
39609,"Ochikobore Fruit Tart",6.77,8510,4812,3271,32187,80
37599,"Magatsu Wahrheit: Zuerst",6.57,9553,5803,3282,32040,52
41364,"One Room Third Season",6.46,9697,6358,3588,27439,53
39681,"D4DJ: First Mix",7.65,9224,1185,3678,25503,345
40958,"Rail Romanesque",5.09,7433,11492,3765,24521,22
38005,"Strike Witches: Road to Berlin",7.33,5325,2293,4012,21049,71
42391,"Osomatsu-san 3rd Season",7.33,5070,2280,4294,18344,82
40272,"A3! Season Autumn & Winter",7.32,4496,2327,4346,18029,142
42714,"Otona nya Koi no Shikata ga Wakaranee!",5.77,3331,None,4836,13306,41
40833,"Inu to Neko Docchi mo Katteru to Mainichi Tanoshii",7.25,5450,2672,5046,12270,36
41574,"Guraburu!",5.71,3201,9764,5097,11913,21
40085,"Maesetsu!",5.77,2463,9533,5414,10136,7
42414,"Eternity: Shinya no Nurekoi Channel ♡",5.75,1306,9614,6387,6752,27
38669,"Tsukiuta. The Animation 2",6.62,1216,5547,6459,6471,27
42883,"Sore dake ga Neck",5.66,2419,9949,6820,5749,2
42514,"Anime Kapibara-san",6.54,1277,5966,8528,3083,32
42295,"Fushigi Dagashiya: Zenitendou",5.95,124,8875,10967,1156,2
42657,"Himitsukessha Taka no Tsume: Golden Spell",6.17,309,7831,11548,945,3
43350,"Gebäude Bäude",6.15,303,7913,11582,941,3
42482,"Seizei Ganbare! Mahou Shoujo Kurumi 3rd Season",None,None,13397,11594,916,2
42717,"Kaeru no Pickles: Kimochi no Iro",5.5,121,10468,11956,807,0
43416,"Kaoru no Taisetsu na Mono",None,None,16784,13791,407,0
42998,"Awajishima no Shichifukujin",None,None,15103,17379,147,0
41813,"Kaijuu Step Wandabada 2nd Season",None,None,16682,17631,137,0
