mal_id,title,score,scored_by,rank,popularity,members,favorites
40591,"Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen",8.66,588337,62,115,996783,17961
40221,"Kami no Tou",7.58,404484,1395,197,733487,5429
40902,"Shokugeki no Souma: Gou no Sara",7.33,181567,2288,431,415738,1141
39463,"Gleipnir",7.01,168649,3784,454,386538,1599
40417,"Fruits Basket 2nd Season",8.57,160809,83,496,369191,4730
38555,"Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...",7.49,182703,1679,505,349887,2375
41120,"Fugou Keiji: Balance:Unlimited",7.54,135234,1518,545,335560,2412
40060,"BNA",7.39,151961,2008,631,296733,2190
40716,"Kakushigoto (TV)",8,107332,569,705,271175,1772
39710,"Yesterday wo Utatte",6.91,115981,4206,710,262673,1104
39292,"Princess Connect! Re:Dive",7.04,86031,3638,875,216513,775
38830,"Hachi-nan tte, Sore wa Nai deshou!",6.23,95214,7536,1033,178419,365
40815,"Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season",8.13,77088,392,1324,140443,619
40532,"Appare-Ranman!",7.29,38638,2452,1527,113772,444
40128,"Arte",7.18,42858,2996,1607,107888,284
39469,"Tsugu Tsugumomo",7.47,29331,1746,1925,81722,278
38843,"Shironeko Project: Zero Chronicle",5.33,30857,10979,1989,77050,173
40513,"Nami yo Kiitekure",7.35,24030,2189,2075,72603,143
40682,"Kingdom 3rd Season",8.77,12854,36,2305,62242,1124
40165,"Listeners",5.37,15122,10870,2407,57169,46
39730,"Houkago Teibou Nisshi",7.41,18967,1938,2591,50798,226
41074,"Digimon Adventure:",6.4,9291,6717,2596,49667,175
40934,"Bungou to Alchemist: Shinpan no Haguruma",6.45,8272,6407,2811,43027,185
40783,"Shachou, Battle no Jikan Desu!",5.86,10604,9228,3241,33302,22
39966,"Tamayomi",5.74,8303,9656,3471,28831,37
40358,"Gal to Kyouryuu",6.46,5688,6392,3616,26735,58
41332,"Ore no Yubi de Midarero.: Heitengo Futarikiri no Salon de...",6.06,7703,None,3729,24897,101
39582,"Kitsutsuki Tanteidokoro",6.08,5889,8287,3785,23898,44
37962,"IDOLiSH7: Second Beat!",8.14,6661,385,3872,22802,313
40504,"Major 2nd (TV) 2nd Season",7.51,6916,1612,4362,17640,66
40403,"Shin Sakura Taisen the Animation",5.79,3053,9468,4498,16333,24
41266,"Bessatsu Olympia Kyklos",6.98,4568,3893,4590,15422,56
40145,"Yu☆Gi☆Oh!: Sevens",5.26,2676,11149,4687,14374,62
40506,"Shadowverse (TV)",5.68,2032,9892,5018,12398,27
40677,"Argonavis from BanG Dream!",6.79,2639,4698,5468,9904,71
40327,"Mewkledreamy",7,725,3815,6737,6033,21
40893,"Komatta Jiisan",6.38,1559,6823,7927,3893,6
41558,"Asatir: Mirai no Mukashi Banashi",6,641,8657,8325,3321,5
41283,"Cardfight!! Vanguard Gaiden: If",6.44,735,6493,8710,2900,11
41405,"Bakugan: Armored Alliance",5.67,668,9911,8862,2749,0
41381,"Garugaku.: Sei Girls Square Gakuin",5.67,171,9919,9988,1830,4
40880,"Kiratto Pri☆chan Season 3",6.81,248,4602,10174,1667,7
41426,"Watanuki-san Chi to",None,None,14414,10841,1266,4
41062,"Tomica Kizuna Gattai: Earth Granner",5.94,119,8921,10991,1168,1
41401,"TV Yarou Nanaana: Kaibutsu Kraken wo Oe!",5.88,219,9158,11170,1087,3
43729,"Semi wa Magic Cube 2nd Season",None,None,13379,11637,933,3
40983,"Hakushon Daimaou 2020",6,119,8667,12156,747,1
41440,"Anoyo no Subete wa, Obake-gumi!",None,None,15050,12162,736,1
40045,"Motto! Majime ni Fumajime Kaiketsu Zorori",None,None,12458,12232,730,0
41470,"Micchiri Wanko! Animation",None,None,12303,12436,673,1
41529,"Duel Masters King",None,None,15701,12537,656,1
41686,"Zo Zo Zo Zombie-kun (TV)",None,None,14905,14351,364,1
41349,"Ooya-san to Boku",None,None,12871,14569,339,0
41404,"Neko Neko Nihonshi 5th Season",None,None,12600,15213,290,0
41638,"Bite-Choicar",None,None,15288,15050,285,2
41384,"Norimono Man: Mobile Land no Car-kun",None,None,12752,15194,276,0
41101,"Poccolies",None,None,13065,15541,260,1
41951,"Mukashi Keibanashi 2nd Season",None,None,12485,17093,167,0
41778,"Oshiri Tantei 4th Season",None,None,12906,17314,155,0
41458,"Origami Ninja Koyankinte",None,None,12910,17229,151,0
41522,"Washimo 8th Season",None,None,14398,17759,126,1
48343,"Catch! Tiniping",None,None,15342,17990,124,0
48262,"Sigan Yeohaengja Luke",None,None,13604,18114,96,0
