mal_id,title,score,scored_by,rank,popularity,members,favorites
41487,"Tensei shitara Slime Datta Ken 2nd Season Part 2",8.31,222819,230,369,487561,8955
39247,"Kobayashi-san Chi no Maid Dragon S",8.42,167834,152,427,409017,5204
48580,"Vanitas no Karte",7.91,86020,692,673,323858,4346
46471,"Tantei wa Mou, Shindeiru.",6.36,75122,6886,693,282720,2907
43969,"Kanojo mo Kanojo",6.65,96475,5390,773,255115,2141
41710,"Genjitsu Shugi Yuusha no Oukoku Saikenki",7.2,97678,2924,818,250359,1995
43523,"Tsuki ga Michibiku Isekai Douchuu",7.74,109717,979,826,244577,2650
40904,"Bokutachi no Remake",7.47,91815,1722,800,244436,2028
44203,"Seirei Gensouki",7.05,101412,3619,873,230970,2503
48849,"Sonny Boy",7.67,50188,1155,1004,205323,3140
48753,"Jahy-sama wa Kujikenai!",7.12,44571,3315,991,187094,1301
42282,"Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X",7.26,53655,2604,1133,170246,882
47257,"Shinigami Bocchan to Kuro Maid",7.67,45751,1154,1220,163612,1310
40620,"Uramichi Oniisan",7.74,42453,981,1300,149008,1467
42340,"Meikyuu Black Company",7.33,52802,2275,1321,144192,686
42625,"Heion Sedai no Idaten-tachi",7.7,47116,1081,1340,141370,1310
42627,"Peach Boy Riverside",6.3,43112,7176,1328,139588,639
46093,"Shiroi Suna no Aquatope",7.52,30130,1572,1320,136146,1082
43814,"Deatte 5-byou de Battle",6.82,54602,4567,1382,135010,746
41812,"Megami-ryou no Ryoubo-kun.",6.55,44876,5919,1392,132583,1082
44881,"100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season",6.84,40395,4486,1629,110179,566
45572,"Mahouka Koukou no Yuutousei",6.57,22478,5809,1669,104822,730
40960,"Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore",6.51,28047,6108,1755,97830,534
48406,"Re-Main",7.24,28096,2702,1803,94047,763
48488,"Higurashi no Naku Koro ni Sotsu",6.82,26302,4576,1942,83379,657
48492,"Scarlet Nexus",5.67,11085,9943,2051,72670,467
43691,"Kageki Shoujo!!",7.82,16003,841,2427,59271,376
41169,"Love Live! Superstar!!",8.02,13480,543,2678,47853,823
41530,"Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV) 2nd Season - Kakusei Zenya",7.02,9753,3768,2712,46589,414
43767,"Night Head 2041",6.59,6285,5701,3002,38286,301
48470,"D_Cide Traumerei the Animation",5.85,3762,9252,4050,20849,100
48252,"Ore, Tsushima",7.04,4668,3634,4643,15390,154
46701,"Yubisaki kara Honki no Netsujou 2: Koibito wa Shouboushi",6.26,2086,None,4722,14279,320
45577,"IDOLiSH7: Third Beat!",8.24,2914,279,4869,13965,251
49110,"Yami Shibai 9",5.77,2361,9551,5954,8548,39
37008,"Tsukipro The Animation 2",6.31,521,7168,6569,6194,49
43741,"Getter Robo Arc",6.13,1108,8034,7666,4326,25
48859,"Pretty All Friends Selection",None,None,13099,10235,1603,18
49079,"Xi Yangyang Yu Hui Tailang: Juezhan Ci Shidai",None,None,14528,15528,256,4
49221,"Kick & Slide",None,None,16855,15784,241,1
